FIPS,County Name,County State,BuyerFullName,BuyerState,BuyerCity,BuyerAddress,BuyerZIP,BuyerPurchases6MSum
1007,Bibb,AL,MK ESTATES LLC,Brierfield,AL,12660 Montevallo Rd,35035,4
1007,Bibb,AL,JJL PROPERTIES LLC,Brierfield,AL,637 Lakewood Cv,35035,3
1007,Bibb,AL,YOUNG & CO LLC,Centreville,AL,1130 Walnut St,35042,2
1009,Blount,AL,TOM MUNOZ INC,Huntsville,AL,174 Derwent Ln Nw,35810,32
1009,Blount,AL,CHASE PAYS CASH LLC,Trussville,AL,8056 Carrington Dr,35173,19
1009,Blount,AL,SHIELD PROPERTY SOLUTIONS LLC,Pelham,AL,3590b Pelham Pkwy,35124,11
1009,Blount,AL,J A HUTSON ENTERPRISES LLC,Locust Fork,AL,231 Chocktaw Trl,35097,10
1009,Blount,AL,PUNA FARMS LLC,Oneonta,AL,57080 231n,35121,4
1009,Blount,AL,CF PROPERTIES LLC,Casper,WY,312 W 2nd St,82601,4
1009,Blount,AL,LAKE TO COAST INVESTMENTS LLC,Warrior,AL,2022 Lakeridge Dr,35180,4
1009,Blount,AL,W LEGACY LLC,Oneonta,AL,2493 Lincoln Rd,35121,4
1009,Blount,AL,MISSOURI-STONE COMPANY,Fruitland Park,FL,800 Sugarfoot Ln,34731,3
1009,Blount,AL,GRACE LEE PROPERTIES LLC,Warrior,AL,3919 Skyline Dr,35180,3
1009,Blount,AL,SEG LLC,Trussville,AL,1479 Us Highway 11,35173,3
1009,Blount,AL,KJC CORE STRUCTURES LLC,Weatherford,TX,421 Gray Wolf Trl,76087,3
1009,Blount,AL,TOWN OF HAYDEN,Hayden,AL,5030 Alabama 160,35079,2
1009,Blount,AL,B & T COMPANIES LLC,Altoona,AL,544 Burgett Rd,35952,2
1009,Blount,AL,ROBBINS PHILLIP JAMES,Louisville,KY,3400 Vista Greens Ct,40241,2
1009,Blount,AL,LUXE LAKE PROPERTIES LLC,Crane Hill,AL,549 County Road 2015,35053,2
1009,Blount,AL,GREY JONES PROPERTIES LLC,Dora,AL,9150 County Line Rd,35062,2
1009,Blount,AL,MPL LAND INVESTING LLC,Miami Beach,FL,830 Lakeview Dr,33140,2
1009,Blount,AL,PROFESSIONAL REAL ESTATE SOLUTIONS LLC,Oneonta,AL,Po Box 211,35121,2
1017,Chambers,AL,KOBECK PROPERTIES LLC,Valley,AL,109 Lafayette St,36854,8
1017,Chambers,AL,AUBURN TIMBERLANDS INC,Birmingham,AL,Po Box 380692,35238,8
1017,Chambers,AL,NEWTON AND WALLACE INC,Valley,AL,59 Lee Road 369,36854,5
1017,Chambers,AL,GIVORNS FAMILY LIMITED PARTNERSHIP,Lanett,AL,Po Box 520,36863,5
1017,Chambers,AL,CDR VENTURES LLC,West Point,GA,Po Box 248,31833,5
1017,Chambers,AL,GARCIA EMIR OBED CANO,Lanett,AL,121 N 1st Ave,36863,4
1017,Chambers,AL,PRECISION IN PROPERTIES LLC,Auburn,AL,808 Winterhawk Dr,36830,4
1017,Chambers,AL,HOME IS KEY LLC,Atlanta,GA,240 Renaissance Pkwy Ne Apt 309,30308,3
1017,Chambers,AL,SHARP PROPERTIES INC,Lanett,AL,802 S Gilmer Ave,36863,3
1017,Chambers,AL,LONGLEAF PARTNERS LAND CO LLC,Auburn,AL,1505 Beam Ct,36830,2
1017,Chambers,AL,NATURAL RESOURCES CONSERVANCY INC,Tulsa,OK,1515 S Utica Ave Ste 300,74104,2
1017,Chambers,AL,CAMSMITH LLC,Lanett,AL,1606 Tanyard Rd,36863,2
1017,Chambers,AL,ADRM INVESTMENTS LLC,Opelika,AL,2604 Brittany Ln,36804,2
1019,Cherokee,AL,ELITE REAL ESTATE MANAGEMENT 2 LLC,Fort Payne,AL,2201 Gault Ave N Ste A,35967,13
1019,Cherokee,AL,PRINCIPAL ACRES LLC,Sanford,NC,500 Westover Dr,27330,12
1019,Cherokee,AL,FRESHWATER LAND TRUST,Birmingham,AL,Po Box 337,35201,11
1019,Cherokee,AL,EFFORT REAL ESTATE LLC,Dawsonville,GA,185 Chestnut Oak Ln,30534,11
1019,Cherokee,AL,EASY HOME OFFER LLC,Enola,PA,5790 Fawn Meadow Ln,17025,7
1019,Cherokee,AL,ALABAMA MOUNTAIN PROPERTIES LLC,Centre,AL,3035 County Road 162,35960,5
1019,Cherokee,AL,ETHEL J SPROUSE PROPERTIES LLC,Centre,AL,50 County Road 469,35960,4
1019,Cherokee,AL,JHC LAND LLC,Gadsden,AL,425 Briarcliff Rd,35901,4
1019,Cherokee,AL,BROOKS SIGNATURE HOMES LLC,Cave Spring,GA,6920 Cave Spring Rd Sw,30124,4
1019,Cherokee,AL,LEATH FAMILY FARM TRUST,Doral,FL,4756 Nw 99th Pl,33178,3
1019,Cherokee,AL,PINHOTI PINES LLC,Piedmont,AL,480 County Road 308,36272,3
1019,Cherokee,AL,SIMPSON PROPERTY LLC,Fort Payne,AL,3506 Oak Ave Nw,35967,3
1019,Cherokee,AL,BLUE RIDGE TOUCH OF HEAVEN LLC,Lindale,GA,270 Marion Dairy Rd Se,30147,2
1019,Cherokee,AL,GROW FAMILY TRUST,Marietta,GA,103 Gadsden Ave,30008,2
1019,Cherokee,AL,CEDAR CREST REAL ESTATE LLC,Cassville,GA,Po Box 720,30123,2
1019,Cherokee,AL,LLCO PROPERTIES LLC,Gadsden,AL,10483 Us Highway 411,35901,2
1019,Cherokee,AL,KFI LLC,Centre,AL,6705 County Road 16,35960,2
1019,Cherokee,AL,SHAVA LLC,Centre,AL,2350 Old Highway 411,35960,2
1019,Cherokee,AL,COOSA RIVER PROPERTIES AND HOMES LLC,Leesburg,AL,685 County Road 166,35983,2
1019,Cherokee,AL,SWEET HOME SAND VALLEY LLC,Marietta,GA,2145 Unity Trl Nw,30064,2
1019,Cherokee,AL,BLUE POND AT CHEROKEE LLC,Leesburg,AL,164 County Road 405,35983,2
1019,Cherokee,AL,T V I S PROPERTIES LLC,Fort Payne,AL,1483 County Road 248,35967,2
1019,Cherokee,AL,PLD LLC,Piedmont,AL,175 County Road 543,36272,2
1019,Cherokee,AL,RED BARN PROPERTIES LLC,Chickamauga,GA,6343 N Marble Top Rd,30707,2
1019,Cherokee,AL,MARKS ANIMAL HOSPITAL LLC,Gadsden,AL,10483 Us Highway 411,35901,2
1019,Cherokee,AL,TBG STEWARDSHIP GROUP INC,Tyrone,GA,1015 Tyrone Rd Ste 520,30290,2
1021,Chilton,AL,ARMM ASSET COMPANY 2 LLC,Austin,TX,3903 S Congress Ave Unit 40298,78704,431
1021,Chilton,AL,NEWREZ LLC,Greenville,SC,75 Beattie Pl Ste 300,29601,91
1021,Chilton,AL,ARMM ASSET COMPANY 2 LLC,Austin,TX,5001 Plaza On The Lk Ste 200,78746,79
1021,Chilton,AL,LENNAR HOMES OF ALABAMA LLC,Birmingham,AL,3825 Lorna Rd Ste 214,35244,39
1021,Chilton,AL,ARMM ASSETS 3 LLC,Austin,TX,401 Congress Ave Fl 33,78701,22
1021,Chilton,AL,PROMINENCE AT HOME 2023 LLC,Birmingham,AL,3821 Lorna Rd Ste 120,35244,7
1021,Chilton,AL,JP & LG PROPERTIES LLC,Clanton,AL,500 Bud Littlejohn Rd,35045,6
1021,Chilton,AL,J & L REAL ESTATE LLC,Clanton,AL,968 County Road 488,35046,6
1021,Chilton,AL,HD MAY FARMS LLC,Hoover,AL,1395 Legacy Dr,35242,3
1021,Chilton,AL,CORNERSTONE PROPERTY GROUP LLC,Pelham,AL,Po Box 162,35124,3
1021,Chilton,AL,SMITH JEREMY,Maplesville,AL,9616 Al Highway 22,36750,3
1021,Chilton,AL,MIMS,Clanton,AL,968 County Road 488,35046,2
1021,Chilton,AL,CLAUDIA ISABEL MADDOX ABERNATHY REVOCABLE TRU,Tulsa,OK,6751 S Evanston Ave,74136,2
1021,Chilton,AL,AVENUE J LLC,Clanton,AL,1405 Meadowood Dr,35045,2
1021,Chilton,AL,HICKS PROPERTIES LLC,Maplesville,AL,8631 Al Highway 22,36750,2
1025,Clarke,AL,IRREVOCABLE TRUST,Horse Cave,KY,1102 E Main St,42749,5
1025,Clarke,AL,HOLETAH PROPERTIES LLC,Tuscaloosa,AL,1207 18th St,35401,4
1025,Clarke,AL,ENDALE LLC,Los Angeles,CA,4243 11th Ave,90008,2
1027,Clay,AL,NPNW LLC,Cumming,GA,4190 Morningside Dr,30041,3
1029,Cleburne,AL,FINAL FRONTIER LAND LLC,Oklahoma City,OK,6608 N Western Ave,73116,8
