kind,category,item,unit,qty_driver,budget_price,standard_price,upgrade_price,standard_product,standard_link,budget_product,budget_link,upgrade_product,upgrade_link,note
sku-fixed,Structure and site,Type S mortar 80 lb,bag,parging/masonry repair,,9.86,,80 lb. Type S Mason Mix,https://apionline.homedepot.com/p/Quikrete-80-lb-Type-S-Mason-Mix-113680/100318510,,,,,
sku-fixed,Structure and site,Concrete mix 80 lb,bag,steps and pad repair,,5.61,,50 lbs. 5000 PSI Concrete Mix,https://apionline.homedepot.com/p/Quikrete-50-lbs-5000-PSI-Concrete-Mix-100750/311757092,,,,,
sku-fixed,Structure and site,20 mil vapor barrier (~300 sqft roll),roll,crawl sqft / 300,,189.9,,"10 Mil Plastic Sheeting, Heavy Duty 20 x 100 ft. Black Roll, Polyethylene Tarp for Crawl Space Vapor Barrier and Multi",https://apionline.homedepot.com/p/SVOPES-10-Mil-Plastic-Sheeting-Heavy-Duty-20-x-100-ft-Black-Roll-Polyethylene-Tarp-for-Crawl-Space-Vapor-Barrier-and-Multi-SLM20FT100FT86LRDV0-250206/334875621,,,,,
sku-fixed,Structure and site,Sump pump 1/3 hp,each,per wet crawl,,309.0,,1/2 HP Stainless Steel Dual Suction Submersible Sump Pump,https://apionline.homedepot.com/p/RIDGID-1-2-HP-Stainless-Steel-Dual-Suction-Submersible-Sump-Pump-500RSDS/308759150,,,,,
sku-fixed,Structure and site,Sump basin,each,per wet crawl,,129.0,,1/3 HP Plastic Pedestal Sump Pump,https://apionline.homedepot.com/p/Everbilt-1-3-HP-Plastic-Pedestal-Sump-Pump-SPL03303/308370050,,,,,
sku-fixed,Structure and site,Vapor barrier seam tape,roll,2 per crawl,,39.48,,ScotchBlue 1.88 in. x 60 yds. Original Multi-Surface Painter's Tape (6-Pack),https://apionline.homedepot.com/p/3M-ScotchBlue-1-88-in-x-60-yds-Original-Multi-Surface-Painter-s-Tape-6-Pack-2090-48TP6/100120991,,,,,
sku-graded,Windows and exterior doors,Vinyl single hung 36x60,each,~1 per 100 sqft living,154.0,259.0,329.0,"35.75 in. x 37.25 in. 70 Pro Series White Double Hung Low-E Argon Glass Vinyl Replacement Window, Screen Incl",https://apionline.homedepot.com/p/American-Craftsman-35-75-in-x-37-25-in-70-Pro-Series-White-Double-Hung-Low-E-Argon-Glass-Vinyl-Replacement-Window-Screen-Incl-3638786/204814579,"30.75 in. x 14.25 in. 70 Series Universal Hand White Vinyl Low-E Argon Sliding Basement Replacement Window, Screen Incl",https://apionline.homedepot.com/p/American-Craftsman-30-75-in-x-14-25-in-70-Series-Universal-Hand-White-Vinyl-Low-E-Argon-Sliding-Basement-Replacement-Window-Screen-Incl-70-SLIDER-BUCK/203157486,"37.75 in. x 56.75 in. 70 Series White Double Hung Low-E Argon Glass Vinyl Fin with J Window, Screen Incl",https://apionline.homedepot.com/p/American-Craftsman-37-75-in-x-56-75-in-70-Series-White-Double-Hung-Low-E-Argon-Glass-Vinyl-Fin-with-J-Window-Screen-Incl-3046730/203157331,
sku-graded,Windows and exterior doors,"Entry door, fiberglass prehung 36 in",each,1-2 per house,429.0,498.0,654.0,Reliant Fiberglass Customizable Front Door Collection,https://apionline.homedepot.com/p/Steves-Sons-Reliant-Fiberglass-Customizable-Front-Door-Collection-559236/313658926,32 in. x 80 in. 9 Lite Primed Fiberglass Prehung Entry Door with Brickmould,https://apionline.homedepot.com/p/JELD-WEN-32-in-x-80-in-9-Lite-Primed-Fiberglass-Prehung-Entry-Door-with-Brickmould-THDQC231100088/202036913,Clarkston 36 in. x 80 in. Left Hand Inswing Zinc 1/4 Lite Painted Black Fiberglass Prehung Front Door,https://apionline.homedepot.com/p/Feather-River-Doors-Clarkston-36-in-x-80-in-Left-Hand-Inswing-Zinc-1-4-Lite-Painted-Black-Fiberglass-Prehung-Front-Door-FHGBCN2K0T0/317223339,
sku-fixed,Windows and exterior doors,Entry lockset + deadbolt,each,per exterior door,,87.97,,Halifax Matte Black Entry Door Handle with Single Cylinder Deadbolt Combo Pack featuring SmartKey Security,https://apionline.homedepot.com/p/Kwikset-Halifax-Matte-Black-Entry-Door-Handle-with-Single-Cylinder-Deadbolt-Combo-Pack-featuring-SmartKey-Security-991HFLSQT514SMT/321253517,,,,,
sku-fixed,Windows and exterior doors,Sliding patio door 72 in,each,as-found,,798.0,,Composite Gliding Patio Door with Woodgrain Interior,https://apionline.homedepot.com/p/MasterPiece-72-in-x-80-in-Smooth-White-Left-Hand-Composite-Sliding-Patio-Door-G6068L00201/202339612,,,,,
sku-fixed,Windows and exterior doors,Garage door 16x7,each,as-found,,579.0,,Wall Mount Drive Ultra-Quiet Smart Garage Door Opener with Battery Backup and WiFi Connection,https://apionline.homedepot.com/p/Chamberlain-Wall-Mount-Drive-Ultra-Quiet-Smart-Garage-Door-Opener-with-Battery-Backup-and-WiFi-Connection-RJO101/325675581,,,,,
sku-fixed,Siding and exterior,Vinyl siding panel,each,~24 panels per square,,31.78,,Plywood Siding Plybead Panel (Nominal: 11/32 in. x 4 ft. x 8 ft. ; Actual: 0.313 in. x 48 in. x 96 in. ),https://apionline.homedepot.com/p/Ply-Bead-Plywood-Siding-Plybead-Panel-Nominal-11-32-in-x-4-ft-x-8-ft-Actual-0-313-in-x-48-in-x-96-in-538281/100080170,,,,,
sku-fixed,Siding and exterior,Vinyl soffit panel,each,eave lf / panel coverage,,19.98,,12.75 in x 0.5 in Rectangular Triple 4 in. Economy Solid Vinyl Soffit - Non-Ventilated,https://apionline.homedepot.com/p/Ply-Gem-12-75-in-x-0-5-in-Rectangular-Triple-4-in-Economy-Solid-Vinyl-Soffit-Non-Ventilated-EVS12N04H/202666272,,,,,
sku-fixed,Siding and exterior,Fascia 1x6x12 primed,each,eave lf / 12,,17.42,,1 in. x 6 in. x 10 ft. Premium Kiln-Dried Square Edge Whitewood Common Softwood Boards,https://apionline.homedepot.com/p/1-in-x-6-in-x-10-ft-Premium-Kiln-Dried-Square-Edge-Whitewood-Common-Softwood-Boards-914789/100085189,,,,,
sku-fixed,Siding and exterior,Aluminum gutter 10 ft,each,eave lf / 10,,32.98,,5 in. x 16 ft. White Aluminum K-Style Gutter,https://apionline.homedepot.com/p/Amerimax-Home-Products-5-in-x-16-ft-White-Aluminum-K-Style-Gutter-2600200192/100013979,,,,,"Sectional; seamless sub-out runs ~$8-10/lf installed, see Allowances"
sku-fixed,Siding and exterior,Aluminum downspout 10 ft,each,1 per corner,,13.62,,Stealth Flow 43 in. Black Vinyl Low Profile Downspout Extension Kit,https://apionline.homedepot.com/p/Amerimax-Home-Products-Stealth-Flow-43-in-Black-Vinyl-Low-Profile-Downspout-Extension-Kit-4601/303522071,,,,,
sku-graded,Siding and exterior,Exterior paint 5 gal,bucket,"1 per ~1,000 sqft wall",189.0,189.0,189.0,5 gal. Natural Cedar Exterior Wood Stain and Sealer,https://apionline.homedepot.com/p/Ready-Seal-5-gal-Natural-Cedar-Exterior-Wood-Stain-and-Sealer-370045/204372098,5 gal. Natural Cedar Exterior Wood Stain and Sealer,https://apionline.homedepot.com/p/Ready-Seal-5-gal-Natural-Cedar-Exterior-Wood-Stain-and-Sealer-370045/204372098,5 gal. Natural Cedar Exterior Wood Stain and Sealer,https://apionline.homedepot.com/p/Ready-Seal-5-gal-Natural-Cedar-Exterior-Wood-Stain-and-Sealer-370045/204372098,
sku-graded,Siding and exterior,Exterior wall lantern,each,per exterior door,48.97,64.97,89.97,Smart Black 12-Light 24 ft. Indoor/Outdoor Plug-in Integrated LED RGBW String Light with Party Mode Powered by Hubspace,https://apionline.homedepot.com/p/Hampton-Bay-Smart-Black-12-Light-24-ft-Indoor-Outdoor-Plug-in-Integrated-LED-RGBW-String-Light-with-Party-Mode-Powered-by-Hubspace-HB-1024SC-BK/327262856,Modern Frosted Black Porch Outdoor Wall Sconce 1-Light Classic Exterior Lantern with Mushroom Clear Seeded Glass Shade,https://apionline.homedepot.com/p/LNC-Modern-Frosted-Black-Porch-Outdoor-Wall-Sconce-1-Light-Classic-Exterior-Lantern-with-Mushroom-Clear-Seeded-Glass-Shade-VAFNYAHD13356V6/318082135,Rockwood 14.93 in. Black Modern Integrated LED Color Changing Outdoor Wall Light Sconce (1-Pack) Powered by Hubspace,https://apionline.homedepot.com/p/Home-Decorators-Collection-Rockwood-14-93-in-Black-Modern-Integrated-LED-Color-Changing-Outdoor-Wall-Light-Sconce-1-Pack-Powered-by-Hubspace-G19226/319390894,
sku-classes,Kitchen,Base cabinets 24 in,each,5-6 per 10x10 kitchen,239.0,239.0,258.0,Shaker 24 in. W x 24 in. D x 34.5 in. H Assembled Base Kitchen Cabinet in Satin White,https://apionline.homedepot.com/p/Hampton-Bay-Shaker-24-in-W-x-24-in-D-x-34-5-in-H-Assembled-Base-Kitchen-Cabinet-in-Satin-White-KB24-SSW/204610522,Shaker 24 in. W x 24 in. D x 34.5 in. H Assembled Base Kitchen Cabinet in Satin White,https://apionline.homedepot.com/p/Hampton-Bay-Shaker-24-in-W-x-24-in-D-x-34-5-in-H-Assembled-Base-Kitchen-Cabinet-in-Satin-White-KB24-SSW/204610522,Hampton 30 in. W x 24 in. D x 34.5 in. H Assembled Base Kitchen Cabinet in Satin White,https://apionline.homedepot.com/p/Hampton-Bay-Hampton-30-in-W-x-24-in-D-x-34-5-in-H-Assembled-Base-Kitchen-Cabinet-in-Satin-White-KB30-SW/100545475,"Budget unfinished, standard shaker, upgrade soft close"
sku-classes,Kitchen,Wall cabinets 30 in,each,4-6 per 10x10 kitchen,164.0,204.0,229.0,Hampton 24 in. W x 12 in. D x 30 in. H Assembled Wall Kitchen Cabinet in Satin White,https://apionline.homedepot.com/p/Hampton-Bay-Hampton-24-in-W-x-12-in-D-x-30-in-H-Assembled-Wall-Kitchen-Cabinet-in-Satin-White-KW2430-SW/202266746,Recessed Panel 36 in. W x 12 in. D x 36 in. H Assembled Wall Kitchen Cabinet in Unfinished,https://apionline.homedepot.com/p/Hampton-Bay-Recessed-Panel-36-in-W-x-12-in-D-x-36-in-H-Assembled-Wall-Kitchen-Cabinet-in-Unfinished-KW3636-UF/325134566,Shaker 30 in. W x 12 in. D x 30 in. H Assembled Wall Kitchen Cabinet in Satin White,https://apionline.homedepot.com/p/Hampton-Bay-Shaker-30-in-W-x-12-in-D-x-30-in-H-Assembled-Wall-Kitchen-Cabinet-in-Satin-White-KW3030-SSW/325127973,
sku-classes,Kitchen,Countertops,section,~2-3 sections (25-30 sqft) per kitchen,229.0,339.0,,6 ft. L x 39 in. D Unfinished Birch Solid Wood Butcher Block Countertop Island with Eased Edge,https://apionline.homedepot.com/p/HARDWOOD-REFLECTIONS-6-ft-L-x-39-in-D-Unfinished-Birch-Solid-Wood-Butcher-Block-Countertop-Island-with-Eased-Edge-BBCT1502574/300688695,6 ft. L x 25 in. D Unfinished Birch Solid Wood Butcher Block Countertop with Eased Edge,https://apionline.homedepot.com/p/HARDWOOD-REFLECTIONS-6-ft-L-x-25-in-D-Unfinished-Birch-Solid-Wood-Butcher-Block-Countertop-with-Eased-Edge-BBCT152574C/301812823,,,"Budget laminate postform, standard what HD stocks (butcher block/prefab) | Upgrade: Fabricated quartz, special-order quote ~$70/sf"
sku-fixed,Kitchen,Cabinet pulls (25 pack),pack,1 per kitchen,,26.97,,10-Pack Half Round Spoon Foot 3 in. (76 mm) Traditional Satin Nickel Cabinet Drawer Pulls,https://apionline.homedepot.com/p/Liberty-10-Pack-Half-Round-Spoon-Foot-3-in-76-mm-Traditional-Satin-Nickel-Cabinet-Drawer-Pulls-P39955L-SN-U1/203537038,,,,,
sku-fixed,Kitchen,Kitchen sink 33 in SS drop-in,each,1 per kitchen,,366.64,,Standart PRO 30 in. Undermount Single Bowl 16 Gauge Stainless Steel Kitchen Sink with Accessories,https://apionline.homedepot.com/p/KRAUS-Standart-PRO-30-in-Undermount-Single-Bowl-16-Gauge-Stainless-Steel-Kitchen-Sink-with-Accessories-KHU100-30/203058416,,,,,
sku-graded,Kitchen,"Kitchen faucet, pull down",each,1 per kitchen,169.0,230.35,269.0,Lenta Gold Single-Handle Pull-Down Sprayer Kitchen Faucet with ShieldSpray Technology in Champagne Bronze,https://apionline.homedepot.com/p/Delta-Lenta-Gold-Single-Handle-Pull-Down-Sprayer-Kitchen-Faucet-with-ShieldSpray-Technology-in-Champagne-Bronze-19802Z-CZ-DST/312604744,Adler Single-Handle Pull-Down Sprayer Kitchen Faucet with Power Clean and Reflex in Spot Resist Stainless,https://apionline.homedepot.com/p/MOEN-Adler-Single-Handle-Pull-Down-Sprayer-Kitchen-Faucet-with-Power-Clean-and-Reflex-in-Spot-Resist-Stainless-87233SRS/311445581,Nicoli Gold Champagne Bronze 17.06 in. H Pull Down Sprayer Kitchen Faucet with 360° Spout Swivel,https://apionline.homedepot.com/p/Delta-Nicoli-Gold-Champagne-Bronze-17-06-in-H-Pull-Down-Sprayer-Kitchen-Faucet-with-360-Spout-Swivel-19867LF-CZ/332897449,
sku-graded,Kitchen,Electric range,each,1 per kitchen,679.0,699.0,899.0,30 in. 6.3 cu. ft. Electric Single Smart Oven Range with Air Fry Fan Convection and EasyClean in Stainless Steel,https://apionline.homedepot.com/p/LG-30-in-6-3-cu-ft-Electric-Single-Smart-Oven-Range-with-Air-Fry-Fan-Convection-and-EasyClean-in-Stainless-Steel-LREN6321YE/340300391,30 in. 4 Burner Element Free-Standing Electric Range in Stainless Steel w/Stainless Knobs,https://apionline.homedepot.com/p/GE-30-in-4-Burner-Element-Free-Standing-Electric-Range-in-Stainless-Steel-w-Stainless-Knobs-GRF40HSVSS/329011820,30 in. 6.3 cu. ft. Smart Wi-Fi Enabled Fan Convection Electric Range Oven with AirFry and EasyClean in Stainless Steel,https://apionline.homedepot.com/p/LG-30-in-6-3-cu-ft-Smart-Wi-Fi-Enabled-Fan-Convection-Electric-Range-Oven-with-AirFry-and-EasyClean-in-Stainless-Steel-LREN6323YE/334408444,Verify gas vs electric before ordering
sku-graded,Kitchen,Over-the-range microwave,each,1 per kitchen,249.0,287.0,399.0,1.9 cu. ft. Over-the-Range Microwave in Stainless Steel with Sensor Cooking,https://apionline.homedepot.com/p/GE-1-9-cu-ft-Over-the-Range-Microwave-in-Stainless-Steel-with-Sensor-Cooking-JVM7195SKSS/207025745,30 in. 1.7 cu. ft. 1000 W Fingerprint Resistant Stainless Steel Over-the-Range Microwave,https://apionline.homedepot.com/p/Samsung-30-in-1-7-cu-ft-1000-W-Fingerprint-Resistant-Stainless-Steel-Over-the-Range-Microwave-ME17R7021ES/312751901,Gallery 1.9 cu. ft. Over the Range Microwave in Smudge-Proof Stainless Steel with Sensor Cooking Technology,https://apionline.homedepot.com/p/Frigidaire-Gallery-1-9-cu-ft-Over-the-Range-Microwave-in-Smudge-Proof-Stainless-Steel-with-Sensor-Cooking-Technology-GMOS1962AF/322477687,
sku-graded,Kitchen,Range hood 30 in,each,where no OTR micro fits,149.99,199.0,251.99,"36 in. 560 CFM Ductless Convertible Wall Mount Range Hood in Stainless Steel with LED Lighting, Filter and Touch Control",https://apionline.homedepot.com/p/VIKIO-36-in-560-CFM-Ductless-Convertible-Wall-Mount-Range-Hood-in-Stainless-Steel-with-LED-Lighting-Filter-and-Touch-Control-RHWM01-36/329658571,"30 in. 217 CFM Convertible Kitchen Wall Mount Range Hood in Stainless Steel with Push Control, LEDs and Carbon Filters",https://apionline.homedepot.com/p/Golden-Vantage-30-in-217-CFM-Convertible-Kitchen-Wall-Mount-Range-Hood-in-Stainless-Steel-with-Push-Control-LEDs-and-Carbon-Filters-RH0472/307566025,"30 in. Vista Collection 380 CFM Ducted Wall Mount Range Hood, Touch Controls, LED Lights, Stainless Steel",https://apionline.homedepot.com/p/Cosmo-30-in-Vista-Collection-380-CFM-Ducted-Wall-Mount-Range-Hood-Touch-Controls-LED-Lights-Stainless-Steel-COS-63175S/207084058,
sku-graded,Kitchen,Dishwasher,each,1 per kitchen (verify hookup),429.0,579.0,699.0,24 in. Built-In Tall Tub Smart 46 dBA Dishwasher in Stainless Steel with StormWash and AutoRelease Door,https://apionline.homedepot.com/p/Samsung-24-in-Built-In-Tall-Tub-Smart-46-dBA-Dishwasher-in-Stainless-Steel-with-StormWash-and-AutoRelease-Door-DW80CG5450SR/325532102,24 in. Front Built-In Tall Tub 57 dBA Dishwasher in Stainless Steel with 4 -Cycles,https://apionline.homedepot.com/p/Whirlpool-24-in-Front-Built-In-Tall-Tub-57-dBA-Dishwasher-in-Stainless-Steel-with-4-Cycles-WDF341PAPM/326522572,"24 in. Top Control Standard 46 dBA Dishwasher with QuadWash, 3rd Rack, Blastzone Bottle Wash in Stainless Steel",https://apionline.homedepot.com/p/LG-24-in-Top-Control-Standard-46-dBA-Dishwasher-with-QuadWash-3rd-Rack-Blastzone-Bottle-Wash-in-Stainless-Steel-LDNPQ44HS/336977312,
sku-graded,Kitchen,Refrigerator,each,1 per kitchen,799.0,1399.0,1899.0,30 in. W 22 cu. ft. 3-Door French Door Refrigerator with Ice Maker in Stainless Steel,https://apionline.homedepot.com/p/LG-30-in-W-22-cu-ft-3-Door-French-Door-Refrigerator-with-Ice-Maker-in-Stainless-Steel-LFCS22520S/206452443,30 in. 18.4 cu. ft. Standard-Depth French Door Bottom Freezer Refrigerator in Fingerprint Resistant Stainless Steel Look,https://apionline.homedepot.com/p/Vissani-30-in-18-4-cu-ft-Standard-Depth-French-Door-Bottom-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Look-MDFDBM18SS6/340543540,36 in. 28 cu. ft. 3-Door French Door Refrigerator w/ Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,https://apionline.homedepot.com/p/LG-36-in-28-cu-ft-3-Door-French-Door-Refrigerator-w-Ice-and-Water-Dispenser-and-Craft-Ice-in-PrintProof-Stainless-Steel-LHFS28XBS/325158253,
sku-graded,Kitchen,"Backsplash, subway tile",sqft,~30-40 sqft per kitchen,2.29,2.66,3.58,Restore 3 in. x 12 in. Ceramic Bright White Subway Tile (12 sq. ft. /Case),https://apionline.homedepot.com/p/Daltile-Restore-3-in-x-12-in-Ceramic-Bright-White-Subway-Tile-12-sq-ft-Case-RE15312HD1P2/302872669,Carrara White 12 in. x 24 in. Matte Porcelain Floor and Wall Tile (16 sq. ft. / case),https://apionline.homedepot.com/p/MSI-Carrara-White-12-in-x-24-in-Matte-Porcelain-Floor-and-Wall-Tile-16-sq-ft-case-NHDCARWHI1224/310005584,Marin Glossy Aloe Green (Light Green) 2.5 in. x 10 in. Ceramic Subway Wall Tile (5.09 sq. ft./Case),https://apionline.homedepot.com/p/Bedrosians-Marin-Glossy-Aloe-Green-Light-Green-2-5-in-x-10-in-Ceramic-Subway-Wall-Tile-5-09-sq-ft-Case-100003174/326361153,
sku-graded,Bathrooms,Alcove tub 60 in,each,per tub bath,339.0,369.0,619.0,Maui 60 in. x 30 in. Alcove Soaking Bathtub with Right Drain in White,https://apionline.homedepot.com/p/Bootz-Industries-Maui-60-in-x-30-in-Alcove-Soaking-Bathtub-with-Right-Drain-in-White-011-3340-00/303687456,Classic 500 60 in. x 32 in. Alcove Deep Soaking Bathtub with Left Drain in High Gloss White,https://apionline.homedepot.com/p/Delta-Classic-500-60-in-x-32-in-Alcove-Deep-Soaking-Bathtub-with-Left-Drain-in-High-Gloss-White-B23605-6032L-WH/321016477,NexTile 60 in. W x 30 in. D x 60 in. H Four-Piece Direct-to-Stud Composite Alcove Tub Surround in White,https://apionline.homedepot.com/p/Bootz-Industries-NexTile-60-in-W-x-30-in-D-x-60-in-H-Four-Piece-Direct-to-Stud-Composite-Alcove-Tub-Surround-in-White-Z041-5000/308105327,
sku-graded,Bathrooms,Tub wall surround,kit,per tub bath (standard),549.0,619.0,1187.99,NexTile 60 in. W x 30 in. D x 60 in. H Four-Piece Direct-to-Stud Composite Alcove Tub Surround in White,https://apionline.homedepot.com/p/Bootz-Industries-NexTile-60-in-W-x-30-in-D-x-60-in-H-Four-Piece-Direct-to-Stud-Composite-Alcove-Tub-Surround-in-White-Z041-5000/308105327,Classic 500 60 in. W x 73.25 in. H x 32 in. D 3-Piece Direct-to-Stud Alcove Shower Surrounds in High Gloss White,https://apionline.homedepot.com/p/Delta-Classic-500-60-in-W-x-73-25-in-H-x-32-in-D-3-Piece-Direct-to-Stud-Alcove-Shower-Surrounds-in-High-Gloss-White-B12205-6032-WH/321017407,"Aloha 60 in. x 30 in. Bathtub, NexTile 60 in. x 30 in. x 60 in. Surround and 56-60 in. Shower Door Combo",https://apionline.homedepot.com/p/sets/Bootz-Industries-Aloha-60-in-x-30-in-Bathtub-NexTile-60-in-x-30-in-x-60-in-Surround-and-56-60-in-Shower-Door-Combo/340209318,"Upgrade path is tiled walls, priced off the tile line"
sku-graded,Bathrooms,Shower kit 48 in,kit,per shower bath,918.32,1272.32,1318.31,"Aloha ShowerCast 60 in. x 32 in. Left Shower Pan, NexTile 60 in. x 32 in. Shower Wall and Chrome Shower Door Kit",https://apionline.homedepot.com/p/sets/Bootz-Industries-Aloha-ShowerCast-60-in-x-32-in-Left-Shower-Pan-NexTile-60-in-x-32-in-Shower-Wall-and-Chrome-Shower-Door-Kit/339931954,Aloha ShowerCast 60 in. L x 32 in. W Left Shower Pan Base and NexTile 60 in. W x 32 in. L x 74 in. H Shower Wall Kit,https://apionline.homedepot.com/p/sets/Bootz-Industries-Aloha-ShowerCast-60-in-L-x-32-in-W-Left-Shower-Pan-Base-and-NexTile-60-in-W-x-32-in-L-x-74-in-H-Shower-Wall-Kit/338679772,"Aloha ShowerCast 60 in. x 32 in. Left Shower Pan, NexTile 60 in. x 32 in. Shower Wall and Matte Black Shower Door Kit",https://apionline.homedepot.com/p/sets/Bootz-Industries-Aloha-ShowerCast-60-in-x-32-in-Left-Shower-Pan-NexTile-60-in-x-32-in-Shower-Wall-and-Matte-Black-Shower-Door-Kit/339286123,
sku-graded,Bathrooms,Sliding tub shower door,each,retail exits only,338.0,392.0,545.0,56 in. - 60 in. W x 74 in. H Double Sliding Frameless Shower Door in Matte Black with Nano-Coated Clear Tempered Glass,https://apionline.homedepot.com/p/Yuaris-56-in-60-in-W-x-74-in-H-Double-Sliding-Frameless-Shower-Door-in-Matte-Black-with-Nano-Coated-Clear-Tempered-Glass-HDSD02BL6074/336028269,56 in. - 60 in. W x 72 in. H Sliding Framed Shower Door in Matte Black with Clear Glass,https://apionline.homedepot.com/p/TOOLKISS-56-in-60-in-W-x-72-in-H-Sliding-Framed-Shower-Door-in-Matte-Black-with-Clear-Glass-TK19118MB/318474663,Essence 56 in. to 60 in. W x 76 in. H Sliding Frameless Shower Door in Matte Black with Clear Glass,https://apionline.homedepot.com/p/DreamLine-Essence-56-in-to-60-in-W-x-76-in-H-Sliding-Frameless-Shower-Door-in-Matte-Black-with-Clear-Glass-SHDR-6360760-09/316239133,
sku-graded,Bathrooms,Vanity 24 in with top,each,small/secondary bath,259.0,439.0,699.0,Doveton 30 in. Single Sink Freestanding White Bath Vanity with White Engineered Marble Top (Assembled),https://apionline.homedepot.com/p/Home-Decorators-Collection-Doveton-30-in-Single-Sink-Freestanding-White-Bath-Vanity-with-White-Engineered-Marble-Top-Assembled-Doveton-30W/320686810,37 in. Single Sink White Bath Vanity with Cultured Marble Top (Assembled),https://apionline.homedepot.com/p/Glacier-Bay-37-in-Single-Sink-White-Bath-Vanity-with-Cultured-Marble-Top-Assembled-GB36P2-WH/204065976,Doveton 48 in. Single Sink Freestanding White Bath Vanity with White Engineered Marble Top (Assembled),https://apionline.homedepot.com/p/Home-Decorators-Collection-Doveton-48-in-Single-Sink-Freestanding-White-Bath-Vanity-with-White-Engineered-Marble-Top-Assembled-Doveton-48W/324252772,
